"Translation Info:
#---------------------------
852,6,63,"Jedhi: ""Sila dukkana dachiifi bahraa irraa kan isin mul'iftaniifi iccitiin isa waammattan taatanii ‘yoo kana irraa nu baraarseef, nuti galateeffattoota irraa taana’ (jettanu) eenyutu isin baraarsa?""",""
853,6,64,"Jedhi: ""Rabbumatu isheefi rakkoo hunda irraa isin baraarsaErgasii isin ni qindeessitu.""",""
854,6,65,"Jedhi: ""Inni adabbii gubbaa keessan irraa yookiin miila keessan jalaa isin irratti erguu, yookiin garee haala taataniin isin walitti makee garii keessan lola garii dhandhamsiisuu irratti danda’aadha."" Akka isaan hubataniif jecha akkamitti keeyyattoota akka ibsinu ilaali.",""
855,6,66,"Odoo inni dhugaa ta'ee jiruu ummanni kee isa kijibsiisan""Ani isin irratti tiksaa miti"" jedhiin.",""
856,6,67,"Oduu hundaaf yeroo itti mirkanaa’utu jiraFuula dura beektu.",""
857,6,68,"Yeroo warra keeyyattoota keenya keessa seenan (itti qoosan) argite, hanga isaan dubbii sanaan alaa keessa seenanitti isaan irraa garagaliYoo sheyxaanni si dagachiises, yaadannoo booda ummata miidhaa raawwattoota wajjin hin taa’in.",""
858,6,69,"Warra (Rabbiin) sodaatan irra dilii isaanii irraa homaayyuu hin jiruGaruu akka isaan eeggataniif jecha gorsatu (isaaniif jira).",""
859,6,70,"Warra amantii isaanii taphaafi qoosaa godhatanii jireenyi addunyaa isaan gowwoomsite isaan dhiisiAkka lubbuun waan hojjatteen hin banne isaan (Qur’aanaan) gorsiRabbii gaditti jaalalleefi manguddoonni isaaniif hin taaneLubbuun hundi odoo kafaltii hunda kafalteeyyuu ishee irraa hin fuudhamuIsaan sun warra waan hojjataniin balleeffamaniIsaaniif waan kafaraa turaniif jecha dhugaatii bishaan danfaa irraa ta’eefi adabbii laalessaa ta’etu jira.",""
860,6,71,"Jedhi: ""Sila nuti Rabbii gaditti waan nu hin fayyanneefi nu hin miine gabbarraa? Erga Rabbiin nu qajeelchee booda akka isa dhama'aa ta'ee sheyxaanni dachii keessa isa fuudhee, kan isaaf hiriyoonni 'gara keenya kottu' (jechuun) gara qajeelumaa isa waaman jiranu (kan isaan hin hordofnee san) of duuba deebinaa?"" Dhugumatti, qajeelfamni Rabbii isatu qajeelfama (sirrii)tiNutis Gooftaa aalamatiif akka bullu ajajamnee jirra"" jedhi.",""
861,6,72,"Salaata dhaabuufi Isa sodaachuutti (ajajamne)Innis Isa gara Isaatti walitti qabamtaniidha.",""
862,6,73,"Inni Isa samiifi dachii dhugaan uumeGuyyaa ‘ta’i’ jennaan achumaan ta’u san [yaadadhu]Jechi Isaa dhugaadhaGuyyaa xurumbaan afuufamu mootummaan kan IsaatiInni beekaa fagoo (gheybii)fi dhihootiInni ogeessa, keessa beekaadha.",""
863,6,74,"Yeroo Ibraahiim abbaa isaa Azaariin ""sila ati taabota gabbaramoota godhattaa? Dhugumatti, ani siifi ummata kee jallina ifaa keessattiin argaara"" jedhes [yaadadhu].",""
864,6,75,"Akka (beekee) mirkaneeffattoota irraas ta’uuf jecha, akka kanatti Ibraahiimiin mootummaa samiifi dachii agarsiifne.",""
865,6,76,"Yeroo halkan isa irratti dukkanaa’es, urjii argeetiin ""kun Gooftaa kiyya"" jedheYeroo inni seenus ""ani seentota hin jaaladhu"" jedhe.",""
866,6,77,"Yeroma ji’as ba’aa ta'ee argu ""kuni Gooftaa kiyya"" jedheYeroo inni seenus ""odoo Gooftaan kiyya na qajeelchuu baatee silaa ani ummata jallattoota irraan ta’a"" jedhe.",""
867,6,78,"Yeroma aduu kan baate taatee argu ""kun Gooftaa kiyya; kanatu irra guddaa dha"" jedheYeroo isheen seentu ""yaa ummata kiyya! ani waan isin qindeessitan irraa qulqulluu dha"" jedhe.",""
868,6,79,"Dhugumatti, ani fuula kiyya qajeelaa haalan ta’een gara Isa samiifi dachii uumee deebiseen jira; Ani mushrikoota irraas miti.",""
869,6,80,"Ummanni isaas isaan falme[Inni] ni jedhe: ""Sila dhugumatti odoo Inni na qajeelchee jiruu isin (waa’ee) Rabbii keessatti na falmituu? Waan isin Isatti qindeessitanis hin sodaadhuYoo Gooftaan kiyya fedhe malee (homtuu narra hin ga’u)Gooftaan kiyya beekumsa Isaatiin waan hunda waliin ga’eeraSila hin gorfamtanuu?",""
870,6,81,"Odoo isin waan Inni ragaa isaa isin irratti hin buusin kan gabbartan hin sodaanne taatanuu, ani akkamittin waan isin qindeessitan sodaadha? Yoo kan beektan taataniif garee lamaan keessaa isa kamtu tasgabbii mirga godhata?"" (jedhi).",""
871,6,82,"Isaannan amananii, iimaana isaanii shirkiidhaan hin makin isaaniif tasgabbiitu jiraIsaanis qajeelfamoodha.",""
872,6,83,"Isheen kun ragaa keenyaIbraahiimiif ummata isaa irratti kenninee jirraNama feenes sadarkaawwan keessatti ol fuunaDhugumatti, Gooftaan kee ogeessa, beekaadha.",""
873,6,84,"Isihaaqiifi Ya’aquubiin isaaf kennineHundaahuu ni qajeelchineSana duras Nuuhiin qajeelchinee jirraSanyii isaa irraas Daawuud, Sulaymaan, Ayyuub, Yuusuf, Muusaafi Haaruunin (qajeelchinee jirra)Akka kanatti toltuu hojjattoota mindeessina.",""
874,6,85,"Zakariyyaa, Yahyaa, Iisaafi Ilyaasiinis (ni qajeelchine)Hundinuu gaggaarii irraayyi.",""
875,6,86,"Ismaa’il, Yasa’i, Yuunusiifi Luuxiinis (qajeelchine)Hundaayyuu aalama irra caalchifne.",""
876,6,87,"Abbootii isaanii, ilmaan isaaniifi obboleeyyan isaanii irraas (qajeelchine)Isaan fillee, gara karaa qajeelaa isaan qajeelchinee jirra.",""
877,6,88,"Kun qajeelloo RabbiitiGabroota isaa irraa nama fedhe isaan qajeelchaOdoo isaan qindeessanii silaa wanti isaan dalagaa turan isaan jalaa bada.",""
878,6,89,"Isaan warra nuti kitaaba, ogummaafi nabiyyummaa isaaniif kennineedhaYoo isaan kun (warri Makkaa) isheetti kafaran, dhugumatti Nuti namoota isheetti hin kafarre isheef qopheessineerra.",""
879,6,90,"Isaan warra Rabbiin qajeelcheedhaQajeelfama isaanii hordofi""Ani isa irratti mindaa isin hin gaafadhuInni aalamaaf yaadannoo malee homaa miti"" jedhi.",""
880,6,91,"Yeroo ""Rabbiin nama irratti homaa hin buufne"" jedhan guddina Isaaf malu Rabbiin hin guddifne""Ifaafi namootaaf qajeelfama haala ta'een kan isin waraqaalee heddu isa gootan kitaaba Muusaan ittiin dhufe eenyutu buuse? (Kan feetan) ishee mul'iftuHeddu immoo ni dhoksituWaan isiniifi abbootiin keessan hin beekne beeksifamtanii jirtan"" jedhi""(Kan isa buuse) Rabbuma"" jedhiErgasii haala isaan dhara isaanii keessa taphataniin isaan dhiisi.",""
881,6,92,"Kunis kitaaba barakaa qabu kan (kitaabota) isa duraa dhugoomsu, (jiraattota) haadha magaalotaa (Makkaa)fi namoota naannoo ishee jiran akka ittiin dinniinuuf Nuti buufneedhaWarri Aakhiratti amanan kan salaata isaanii irratti tikfatan ta'anii isatti ni amanu.",""
882,6,93,"Nama Rabbi irratti kijiba odeesse yookiin odoo wahyiin homaatuu isatti hin beeksifamin ""wahyiin gara kiyyatti bu’eera"" jedheefi nama ""anis fakkaataa waan Rabbiin buuseetiin buusa"" jedhe caalaa namni miidhaa hojjate eenyu? Odoo yeroo miidhaa hojjattoonni haguuggaa du’aa keessa ta’anii malaykonnis harka isaanii diriirsanii ""lubbuu keessan baasaa; har'a isin waan Rabbi irratti dhugaan alaa jedhaa turtaniifi keeyyattoota Isaa irraa boonaa turtaniif, adabbii salphisaa galata galfamtu"" (jedhanu) argitee (dubbii rifachiisaa argita ture).",""
883,6,94,"Dhugumatti isin kophaa taatanii akkuma yeroo jalqabaa isin uumnetti Wantoota Nuti isiniif kennine hunda dugda duuba keessanitti dhiiftanii gara keenya dhuftaniittuNuti manguddoota (taabota) keessan kan isin “kun warra Rabbiin waliin gabbarru” jedhaa turtan isin wajjiin hin arginu(Hariiroon) gidduu keessanii dhugumatti citeeraWanti isin mormaa turtanis isin jalaa badeera.",""
884,6,95,"Rabbiin baqaqsaa fireetiifi ija tamriiti(Inni) du’aa irraa fayyaa baasaFayyaa irraas du’aa baasaadhaKun Rabbii keessaniIsin akkamumatti gara galturee?",""
885,6,96,")Inni) baqaqsaa bariitiHalkan (yeroo) boqonnaa, aduufi ji’as lakkoofsa (yeroo ittiin beekuuf) godheKun qideessuu (Rabbii) injifataa, beekaati.",""
886,6,97,"Inni (Rabbiin) Isa akka dukkana dachiifi bahraa keessa isaaniin qajeeltaniif urjiiwwan isiniif godhe saniDhugumatti, Nuti keeyyattoota ummata beekaniif addeessinee jirra.",""
887,6,98,"Inni (Rabbiin) Isa lubbuu tokko irraa isin uumeedhaBakka ragga'iinsaa (gad-aamessaa)fi bakka qubsumaa (dugdatu isiniif jira)Dhugumatti, Nuti namoota hubataniif keeyyattoota addeessineerra.",""
888,6,99,"Inni Isa samii irraa bishaan buuseIsaanis biqilaa waan hundaa baafnee, isa irraahis magariisa baafneIsa irraa firii wal koraa, muka Timiraa irraa, daraaraa ishee irraa yudoo dhihoo taate, ashaakiltii inaba irraa ta'e, zaytuuna, rummaana wal fakkaataafi wal fakkaataa hin taane baafnaMee gara oomisha isaa yeroo inni fireesseefi (gara) bilchina isaas ilaalaaDhugumatti, kana keessa ummata amananiif mallattoowwantu jira.",""
889,6,100,"Odoo inni isaanis uumee jiruu jinnoota Rabbiif shariika taasisan; isaan beekumsaan maleetti ilmaan dhiiraafi dhalaa Isaaf (Rabbiif) uumanInni wantoota isaan kijibaan Isatti maxxansan irraa qulqulluufi ol ta’aadha.",""
890,6,101,"Jalqabaa uumama samiifi dachiitiWaan hundaa uumee, Niitii kan hin qabne ta'ee akkamitti ilmoon isaaf ta’a? Inni waan hunda beekaadha.",""
891,6,102,"Kan akkana hojjate kun Rabbii keessaniIsa malee dhugaan gabbaramaan hin jiru(Inni) uumaa waan hundaatii, Isa (qofa) gabbaraaInnis waan hunda tiksaadha.",""
892,6,103,")Addunyaatti) agartuun Isa hin agartuInni immoo agartuu hunda ni argaInni mararfataa, beekaadha.",""
893,6,104,"Dhugumatti, Gooftaa keessan irraa ragaawwan ifa ta’an isinitti dhufeeraNamni (ragaawwan kanniin) arge lubbuma isaatiif (itti fayyadama)Namni jaames isheedhuma irratti (miidhaa geessisa)Aniis isin irratti tiksaa miti.",""
894,6,105,"Akkasumas (akka isaan xiinxalaniifi kitaaba durii) qu'ate jedhaniifi ummata beekaniif immoo ibsuuf keeyyattoota addeessina",""
895,6,106,"Waan Gooftaa kee irraa sitti beeksifame hordofiIsa malee dhugaan gabbaramaan hin jiru; mushrikoota irraas garagali.",""
896,6,107,"Odoo Rabbiin fedhee, silaa (isatti) hin qindeessanu tureIsaan irrattis tiksaa si hin gooneAti isaan irrattis moosifamaa miti.",""
897,6,108,"Beekumsa maleetti jibbaadhaan Rabbiin arrabsuu warra isaan Rabbii gaditti gabbaran hin arrabsinaaAkka kanatti ummata hundaaf dalagaa isaanii miidhagsineErgasii deebiin isaanii gara Gooftaa isaaniiti; waan isaan dalagaa turanis isaanitti hima.",""
898,6,109,"""Odoo mallattoon wahii isaanitti dhufee, silaa isatti amanna"" jedhanii kakuu isaanii cimaa Rabbitti kakatani""Mallattoowwan Rabbuma biraayi"" jedhiYeroo isheen (raajiwwan) dhufte isaan hin amananuu maaltu isin beeksise? (Rabbitu beeka malee isin hin beektanu).",""
899,6,110,"Akkuma isaan yeroo jalqabaa isatti hin amanin onnee isaaniitiifi agartuu isaanii gara gaggalchinaKan dhama'an ta'anii jallina isaanii keessatti isaan dhiifna",""
900,6,111,"Odoo Nuti malaykota gara isaaniitti buufnee, du’aawwanis isaaniin haasa'anii, waan hundayyuu isaan duratti walitti qabnellee, isaan yoo Rabbiin fedhe malee kan amananii mitiGaruu irra hedduun isaanii ni wallaalu.",""
901,6,112,"Akka kanatti nabiyyii hundaafuu diina shayxaana namaafi jinnii irraa ta’an, kan gowwoomsuuf jecha gariin isaanii gara gariitti, jecha miidhagaa beeksisan godheeraOdoo Gooftaan kee fedhee silaa hin raawwatanu tureIsaaniifi kijiba isaan uumanis dhiisi.",""
902,6,113,"Akka onneen warra Aakhiratti hin amaninii gara isaa daban, akka isas jaalataniifi (adaba irraa) waan raawwachaa jiranis akka raawwataniif.",""
903,6,114,"""Odoo innni kitaaba addeeffamaa gara keessanitti buusee jiruun Rabbiin alatti murteessaa barbaaddadhaa?"" (jedhi).Warri kitaaba isaaniif kennines, akka inni dhugaan Gooftaa kee irraa buufame ni beekuWarra maman irraas hin ta’in",""
904,6,115,"Jechi Gooftaa keetii dhugaafi haqa haala ta'een xumurameeraJechoota Isaatiif jijjiiraan hin jiruInni dhagayaa, beekaadha.",""
905,6,116,"Yoo irra hedduu namoota dachii keessaatiin ajajamte, karaa Rabbii irraa si jallisuIsaan shakkii malee homaa hin hordofanIsaan kijiboo malee homaa hin taane.",""
906,6,117,"Dhugumatti, Gooftaan kee Isumatu nama karaa Isaa irraa jallatu irra beeka; warra qajeelanis Isumatu beeka.",""
907,6,118,"Yoo keeyyattoota Isaatti kan amantan taataniif, waan maqaan Rabbii irratti dubbatame irraa qofa nyaadhaa.",""
908,6,119,"Sila maaltu isiniif jiraayyi waan maqaan Rabbii irratti dubbatame nyaachuu dhiiftan? Wanti gara isaatti rakkifamtan odoo hafuu dhugumatti, Inni wantoota isin irratti dhorgamaa godhe isiniif addeesseeraDhugumatti, (namoonni) baay’een beekumsaan malee fedha lubbuu isaaniitiin jallatuDhugumatti, Gooftaan kee Isaatu irra beekaa warra daangaa d","abraniiti."
909,6,120,"Badii ifa bahaafi dhokataa isaas dhiisaaDhugumatti, isaannan cubbuu hojjatan waan kijiba uumaniif fuuldura galata galfamu.",""
910,6,121,"Waan maqaan Rabbii isarratti hin dubbatamin hin nyaatinaaDhugumatti, inni fincilaDhugumatti, shayxaanonni akka isiniin falmanuuf gara jaalallee isaanii hasaasuIsinis yoo isaaniif ajajamtan dhugumatti isin mushrikoota.",""
911,6,122,"Sila namni du’aa turee ergasii isa jiraachifnee ifa isaaf goone, akka fakkii nama dukkana keessa jiru, kan ishee irraa hin baanee ta'aa? Akka kanatti kaafirootaaf wanti isaan dalagaa turan miidhagfame.",""
912,6,123,"Akkasumas magaalota hunda keessatti gugurdoo jallattoota ishee akka ishee keessatti dhara karoorsaniif gooneHin beekanu malee, lubbuu isaanii irratti malee dhara hin karoorsanu.",""
913,6,124,"Yeroo mallattoon wahii isaanitti dhuftes ""hanga fakkaataan waan ergamoonni Rabbii kennamanii nuuf kennamutti hin amannu"" jedhuRabbiin ergaa Isaa eessa akka kaayu akkaan beekaWarra badii hojjatan waan isaan dhara karoorsaa turaniif Rabbiin biratti xiqqeenyaafi adabbii cimaa ta’etu (isaan) tuqa.",""
914,6,125,"Namni Rabbiin isa qajeelchuu fedhe, qoma Isaa Islaamaaf bal’isaNama isa jallisuu fedhe immoo qoma isaa akkaan dhiphaa, akka nama samii keessa ol ba’uu taasisaAkka kanatti Rabbiin adabbii warra hin amanne irratti godha.",""
915,6,126,"Kun qajeelaa haala ta’een karaa Gooftaa keetiitiUmmata gorfamaniif mallattoo dhugaadhaan adda baafneerra.",""
916,6,127,"Isaaniif Gooftaa isaanii bira ganda nagayaatu jiraInnis waan isaan dalagaa turaniif jecha gargaaraa isaaniiti.",""
917,6,128,"Guyyaa hunda isaanii walitti qabee ""Yaa garee jinnootaa! Namoota daneeffattanii jirtu"" (jedhuun yaadadhu)Jaalalleen isaanii kan namoota irraa ta’anis ""Gooftaa keenya! gariin keenya gariitti fayyadamne; beellama keenya Ati nuuf beellamtes geenyee jirra"" jedhu""Hangi Rabbiin fedhe qofti odoo hafuu, Ibiddi keessatti hafoo taatanii qubannaa keessani"" jedhaDhugumatti Gooftaan kee ogeessa, beekaadha.",""
918,6,129,"Waan isaan hojjataa turaniif jecha, akka kanatti garii miidhaa hojjattoota garii irratti moosifna.",""
919,6,130,"""Yaa garee jinniifi namaa! Sila ergam-oonni isin irraa ta’an kan keeyyattoota kiyya isin irratti qara’aniifi qunnamtii guyyaa keessanii kana kan isin dinniinanu isinitti hin dhufnee?"" (jedhamu)""Nuti lubbuu keenya irratti ragaa baanee jirra"" jedhanJireenyi addunyaas isaan gowwoomsiteDhugumatti, isaan kaafiroota akka turan lubbuu isaanii irratti ragaa ba’an.",""
920,6,131,"Kun waan Gooftaan kee ganda tokko haala warri ishee dagataa ta'een, badii (isheetiif jecha) kan balleessu hin ta'iniifi.",""
921,6,132,"Hundaafuu waan hojjattan irraa sadarkaaleetu jiraGooftaan keetis waan isaan dalagan irraa dagataa miti.",""
922,6,133,"Gooftaan kees dureessa, abbaa rahmataatiAkkuma isin sanyii ummata biraa irraa argamsiise, yoo fedhe, isin adeemsiseetiin (dhabamsiisetiin) isin booda waan fedhe bakka buusa.",""
923,6,134,"Dhugumatti, wanti waadaa isiniif galame dhufaadhaIsinis kan (adabbii irraa) maqsitanii miti.",""
924,6,135,"""Yaa ummata kiyya! Akkaataa adeemsa keessanii irratti dalagaa; Anis dalagaadhaNamni manni booddee isaaf ta’u eenyuun akka ta’e fuulduratti ni beektuDhugumatti, miidhaa hojjattoonni hin milkaa’anu"" jedhi.",""
925,6,136,"Oyruufi beyladaa inni uumerraa qooda Rabbiif godhaniiti yaaduma isaaniitiin ""kun kan Rabbiiti, kun immoo kan gooftolee keenyaati"" jedhanWanti gabbaramtoota isaaniitiif ta’e gara Rabbiitti hin ga’u; wanni Rabbiif ta’e immoo gara gabbaramtoota isaaniitti ni ga’aWanti isaan murteessan waa fokkate!",""
926,6,137,"Akka kanatti shariikonni isaanii hedduu mushrikoota irraa ta'aniif isaan balleessuufi amantii isaanii isaan irratti walitti makuuf jecha ajjeechaa ilmaan isaanii miidhagseefOdoo Rabbiin fedhee hin raawwatanu tureKijiba isaanii wajjin isaan dhiisi",""
927,6,138,"Yaada isaaniitiin ""kun horiifi oyruu dhorgamtuudha; Nama nuti feene malee ishee hin nyaatu(kun) horii dugdi ishee (yaabbii irraa) dhorgamteedha; (kun immoo) horii maqaa Rabbii irratti hin dubbannee dha"" jedhanRabbi irratti kijiba uumuuf (kana hojjatan)Rabbiin waan isaan kijibaa turaniin fuulduratti isaan mindeessa.",""
928,6,139,"Ni jedhan: ""Wanti garaa horii kanneen keessaa dhiirota keenya qofaaf hayyamamtuudha; dubartoota keenya irratti immoo dhorgamoodhaYoo du’aa ta’eef, isaan hunduu isa keessatti shariika."" Ibsa isaaniitiin (kijiba Rabbi irra kaa'aniin) isaan mindeessaDhugumatti Inni ogeessa, beekaadha",""
929,6,140,"Warri wallaalaan beekumsaan ala ilmaan isaanii ajjeesanii, Rabbiin irratti kijiba maxxansuun waan Rabbiin isaaniif kenne haraama taasisan, dhugumatti hoonga’aniiruIsaan jallataniiru; qajeeloo hin taane.",""
930,6,141,"Rabbiin isa ashaakiltii sireen godhamuufiifi sireen hin godhamneef uumeedhaMuka timiraa, sanyii dhandhamni wal dhabaa ta'e, Zaytuunaafi Rummaana wal fakkaataniifi wal hin fakkaannes (kan uumee dha)Firee isaa irraa yeroo inni fireesse nyaadhaa; guyyaa haamama isaas haqa isaa (zakaa) kennaa(Kennaan) daangaa hin dabrinaaDhugumatti, Inni warra daangaa dabran hin jaalatu.",""
931,6,142,"Horii irraas isaan fe’isaaf oolaniifi fe’isaaf hin oolle (uume)Waan Rabbiin isiniif kenne irraa nyaadhaa; tarkaanfiilee shayxaanaas hin hordofinaaDhugumatti, inni isiniif diina ifa bahaadha.",""
932,6,143,"Qindiiwwan saddeeti (uumne): hoolaa irraa lama (kormaafi dhalaa), Re’ee irraas lama (kormaafi dhalaa)""Sila (Rabbiin) korma lamaan haraam godhe moo dhaltuu lamaani? Moo waan gadaamessi dhaltuu lamaanii of keessaa qabdu? Yoo kan dhugaa dubbattan taataniif, beekumsaan naaf himaa"" jedhiin.",""
933,6,144,"Gaala irraas lama, Loon irraas lama (kormaafi dhalaa uume)""Sila (Rabbiin) korma lamaan dhorge moo dhaltuu lamaani? Moo waan gadaamessi dhaltuu walitti qabatte? Moo yeroo Rabbiin kanatti isin ajaju hirmaataa turtani? Nama beekumsa malee namoota jallisuuf jecha Rabbiin irratti kijiba odeesse caalaa namni miidhaa hojjate hin jiruDhugumatti, Rabbiin ummata miidhaa hojjattoota hin qajeelchu.""",""
934,6,145,"Jedhi: ""Ani waan gara kiyyatti wahyii godhame keessatti yoo du’aa (baktii) yookiin dhiiga dhangala’aa yookiin foon Booyyee, inni najisa, yookiin fincila waan Rabbiin alaatiif gorra’ame malee nama isa nyaatu irratti dhorgamaa hin argu."" Namni halaalaa jiruu haraamatti darbuufi nyaata keessatti daangaa dabruun maletti rakkifame dhugumatti, Gooftaan kee araaramaa, rahmata godhaadha.",""
935,6,146,"Warra yahuudoman irratti abbaa qeensaa hunda haraama taasifnee jirraSa'aa, busaa'ee (re’eefi hoolaa) irraas cooma isaan lamaanii, waan dugdi isaaniitiifi marrimaan isaanii baatte yookiin waan lafeetti makame malee (isa biraa) isaan irratti haraama taasifnee jirraKana daangaa dabruu isaaniitiif isaan mindeessineNuti dhugaa dubbatoodha.",""
936,6,147,"Yoo isaan si kijibsiisan ""Gooftaan keessan abbaa rahmata bal’aatiadabbiin Isaas ummata yakkamaa irraa hin deebifamu"" jedhiin.",""
937,6,148,"Isaannan qindeessan fuulduratti ni jedhu ""odoo Rabbiin fedhee, silaa nutis ta’ee abbootiin keenya hin qindeessinu turreWanta tokkos haraama hin taasifnu turreAkkasuma warri isaan dura turan hanga adabbii keenya dhandhamanitti kijibsiisan""Sila beekumsa irraa inni isin nuuf baasuu (fiduu) dandeessan isin bira ni jiraa? Shakkii malee homaa hordofaa hin jirtanuIsinis kijiboo malee hin taane"" jedhi.",""
938,6,149,"""Ragaan guutuun kan RabbiitiInni odoo fedhee, silaa hunda keessan ni qajeelcha ture"" jedhi.",""
939,6,150,"Jedhi: ""Mee ragoota keessan kan akka Rabbiin waan kana haraama taasise ragaa ba’an fidadhaaYoo isaan ragaa ba’an, ati isaan waliin ragaa hin ba’inFedha lubbuu warra keeyyattoota keenya kijibsiisanii, warra Aakhiraatti hin amanneefi isaan (qaamota biraa) Gooftaa isaanii wajjin wal qixxeessan hin hordofin.""",""
940,6,151,"Jedhi: ""Kottaa! Waan Gooftaan keessan isin irratti haraama godhen isin irratti qara’a: Isatti waa qindeessuu dhiisuu, abbaafi haadhatti tola ooluu, ilmaan keessan beelaaf jecha hin ajjeesinaa, Nutu isiniifi isaanis soora; wantoota fokkatoo ta’an kan mul’ates ta’ee waan dhokate itti hin dhihaatinaa; lubbuu Rabbiin (ajjeesuu) haraama godhes haqaan maleetti hin ajjeesinaaIsa san akka xiinxaltaniif ishee isiniif dhaame.",""
941,6,152,"Qabeenya yatiimaas yoo toltuudhaan ta’e malee hanga inni umrii cimina isaa ga’utti itti hin dhihaatinaa; safaraafi madaalas haqaan guutaaNuti lubbuu tokkos waan isheen dandeessutti malee hin dirqisiifnuOdoma fira dhihoo ta’ellee yeroo jecha (ragaa) kennitanis, haqa dalagaaWaadaa Rabbiis guutaaKana akka isin yaadattaniif isinii dhaama.”",""
